Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
DepartamentoAVENIDASANTAROSA265-L1SANTALUCIA,Santiago,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoGRANAVENIDA6250COMUNADESANMIGUEL,San Miguel,,48.0,2.0,1.0,0,,Pequeño (35-54m2)
ArriendoDepto.1D/1B-Santiago,Santiago,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoCUARTAAVENIDA1350COMUNADESANMIGUEL,San Miguel,,47.0,2.0,2.0,0,,Pequeño (35-54m2)
DepartamentoCALLEMAPOCHO1522COMUNADESANTIAGO,Santiago,,26.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DepartamentoCALLESANFRANCISCO294,SANTIAGOCENTRO",Santiago,,28.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTOLosAndesdeVioletaParra4162,Quinta Normal,,,1.0,1.0,0,,Sin dato
"Hermosodpto,ubicadoenbarriorepública$320000sinmuebles)",Santiago,320000.0,40.0,1.0,1.0,0,8000.0,Pequeño (35-54m2)
DepartamentoEnArriendoQuintaNormal,Quinta Normal,,49.0,2.0,1.0,1,,Pequeño (35-54m2)
Dueñoarriendadpto2dormfrenteametrohospitales,Independencia,380000.0,53.0,2.0,1.0,0,7170.0,Pequeño (35-54m2)
PROMO2MESES$340.000DPTOAMOBLADOQUINTANORMA,Quinta Normal,380000.0,,1.0,1.0,0,,Sin dato
DeptoBlancoEncalada/beauchef1dorm/estac/bod(metro),Santiago,385000.0,,1.0,1.0,1,,Sin dato
"ARRIENDOACOGEDORACASITAINTERIORPERSONASOLA,PAREJACHILENA",Maipú,,43.0,1.0,1.0,0,,Pequeño (35-54m2)
DepartamentoCALLELOSOLMOS3031COMUNAMACUL,Macul,465000.0,54.0,2.0,2.0,0,8611.0,Pequeño (35-54m2)
DEPARTAMENTONatanielCox331,Santiago,310000.0,35.0,1.0,1.0,0,8857.0,Pequeño (35-54m2)
ArriendodeptoenLaFlorida-1dorm1baño,La Florida,,,1.0,1.0,0,,Sin dato
ArriendoDepto.1D/1B-EstaciónCentral,Estación Central,230000.0,31.0,1.0,1.0,0,7419.0,Studio / Mini (<35m2)
"METRODEPARTAMENTAL,ARRIENDO1DCON1B.",San Miguel,,34.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTODIAGONALSANTAELENA2565,San Joaquín,,50.0,2.0,1.0,0,,Pequeño (35-54m2)
MaríaLuisaSantander/Condell/FullAmoblado,Providencia,1110000.0,64.0,2.0,2.0,1,17344.0,Mediano (55-74m2)
DepartamentoenTilTil,Ñuñoa,,60.0,2.0,1.0,0,,Mediano (55-74m2)
DepartamentoenDomingoFaustinoSarmiento,Ñuñoa,555000.0,36.0,1.0,1.0,1,15417.0,Pequeño (35-54m2)
